month,price
Jan-95,17.99
Feb-95,18.51
Mar-95,18.56
Apr-95,19.87
May-95,19.74
Jun-95,18.42
Jul-95,17.31
Aug-95,18
Sep-95,18.22
Oct-95,17.45
Nov-95,17.96
Dec-95,19.04
Jan-96,18.88
Feb-96,19.07
Mar-96,21.3
Apr-96,23.55
May-96,21.25
Jun-96,20.41
Jul-96,21.31
Aug-96,21.98
Sep-96,23.99
Oct-96,24.9
Nov-96,23.7
Dec-96,25.25
Jan-97,25.17
Feb-97,22.21
Mar-97,21.03
Apr-97,19.68
May-97,20.84
Jun-97,19.2
Jul-97,19.6
Aug-97,19.94
Sep-97,19.77
Oct-97,21.31
Nov-97,20.11
Dec-97,18.32
Jan-98,16.74
Feb-98,16.08
Mar-98,15.02
Apr-98,15.28
May-98,14.87
Jun-98,13.8
Jul-98,14.11
Aug-98,13.36
Sep-98,14.95
Oct-98,14.38
Nov-98,12.84
Dec-98,11.31
Jan-99,12.49
Feb-99,12.02
Mar-99,14.65
Apr-99,17.33
May-99,17.73
Jun-99,17.9
Jul-99,20.06
Aug-99,21.24
Sep-99,23.89
Oct-99,22.59
Nov-99,25.02
Dec-99,26.08
Jan-00,27.21
Feb-00,29.31
Mar-00,29.92
Apr-00,25.74
May-00,28.79
Jun-00,31.84
Jul-00,29.72
Aug-00,31.27
Sep-00,33.92
Oct-00,33.02
Nov-00,34.42
Dec-00,28.38
01-Jan,29.65
01-Feb,29.63
01-Mar,27.24
01-Apr,27.44
01-May,28.64
01-Jun,27.66
01-Jul,26.49
01-Aug,27.47
01-Sep,25.88
01-Oct,22.21
01-Nov,19.67
01-Dec,19.32
02-Jan,19.67
02-Feb,20.71
02-Mar,24.42
02-Apr,26.27
02-May,27
02-Jun,25.51
02-Jul,26.94
02-Aug,28.38
02-Sep,29.66
02-Oct,28.79
02-Nov,26.29
02-Dec,29.44
03-Jan,32.92
03-Feb,35.86
03-Mar,33.55
03-Apr,28.22
03-May,28.17
03-Jun,30.78
03-Jul,30.74
03-Aug,31.66
03-Sep,28.31
03-Oct,30.36
03-Nov,31.01
03-Dec,32.14
04-Jan,34.14
04-Feb,34.75
04-Mar,36.72
04-Apr,36.68
04-May,40.29
04-Jun,38.06
04-Jul,40.8
04-Aug,44.72
04-Sep,45.94
04-Oct,53.19
04-Nov,48.46
04-Dec,43.27
05-Jan,46.83
05-Feb,47.97
05-Mar,54.31
05-Apr,53.04
05-May,49.81
05-Jun,56.26
05-Jul,58.59
05-Aug,64.97
05-Sep,65.57
05-Oct,62.37
05-Nov,58.3
05-Dec,59.48
06-Jan,65.51
06-Feb,61.63
06-Mar,62.9
06-Apr,69.69
06-May,70.87
06-Jun,70.96
06-Jul,74.41
06-Aug,73.05
06-Sep,63.87
06-Oct,58.83
06-Nov,59.34
06-Dec,61.98
07-Jan,54.26
07-Feb,59
07-Mar,60.67
07-Apr,64.15
07-May,63.49
07-Jun,67.19
07-Jul,73.99
07-Aug,72.54
07-Sep,79.61
07-Oct,85.9
07-Nov,94.9
07-Dec,91.52
08-Jan,92.87
08-Feb,95.4
08-Mar,105.34
08-Apr,112.62
08-May,125.59
08-Jun,133.63
08-Jul,133.57
08-Aug,116.59
08-Sep,104.46
08-Oct,76.41
08-Nov,57.15
08-Dec,41.44
09-Jan,41.49
09-Feb,39.12
09-Mar,47.97
09-Apr,49.79
09-May,59.13
09-Jun,69.62
09-Jul,64.11
09-Aug,71.02
09-Sep,69.44
09-Oct,75.77
09-Nov,77.5
09-Dec,74.6
10-Jan,78.33
10-Feb,76.45
10-Mar,81.25
10-Apr,84.48
10-May,73.82
10-Jun,75.37
10-Jul,76.16
10-Aug,76.63
10-Sep,75.39
10-Oct,81.86
10-Nov,84.19
10-Dec,89.2
11-Jan,89.51
11-Feb,89.53
11-Mar,102.9
11-Apr,109.98
11-May,101.4
11-Jun,96.27
11-Jul,96.99
11-Aug,85.4
11-Sep,85.49
11-Oct,86.58
11-Nov,97.17
11-Dec,98.75
12-Jan,100.26
12-Feb,101.97
12-Mar,106.15
12-Apr,103.29
12-May,94.87
12-Jun,82.36
12-Jul,87.91
12-Aug,94.11
12-Sep,94.51
12-Oct,89.86
12-Nov,86.74
12-Dec,88.29
13-Jan,94.48
13-Feb,95.33
13-Mar,93.24
13-Apr,92.06
13-May,94.85
13-Jun,95.96
13-Jul,104.7
13-Aug,106.54
13-Sep,106.24
13-Oct,100.55
13-Nov,93.93
13-Dec,97.89
14-Jan,94.86
14-Feb,100.68
14-Mar,100.51
14-Apr,102.03
14-May,101.79
14-Jun,105.15
14-Jul,102.39
14-Aug,96.08
14-Sep,93.03
14-Oct,84.34
14-Nov,75.81
14-Dec,59.29
15-Jan,47.33
15-Feb,50.72
15-Mar,47.85
15-Apr,54.63
15-May,59.37
15-Jun,59.83
15-Jul,50.93
15-Aug,42.89
15-Sep,45.47
15-Oct,46.29
15-Nov,42.92
15-Dec,37.33
16-Jan,31.78
16-Feb,30.62
16-Mar,37.96
16-Apr,41.12
16-May,46.8
16-Jun,48.85
16-Jul,44.8
16-Aug,44.8
16-Sep,45.23
16-Oct,49.94
16-Nov,45.76
16-Dec,52.17
17-Jan,52.61
17-Feb,53.46
17-Mar,49.67
17-Apr,51.12
17-May,48.54
17-Jun,45.2
17-Jul,46.68
17-Aug,48.06
17-Sep,49.87
17-Oct,51.58
17-Nov,56.67
17-Dec,57.95
18-Jan,63.66
18-Feb,62.18
18-Mar,62.77
18-Apr,66.33
18-May,69.98
18-Jun,67.32
18-Jul,70.58
18-Aug,67.85
